Termination I Mean Ocean Temperature compilation,,,,,,,,,,
"Fig. 1 of Shackleton et al. (2021) Climate of the Past, 17(5), 2273-2289.",,,,,,,,,,
,,,,,,,,,,
Full references,,,,,,,,,,
"Bereiter et al. (2018) Nature, 553(7686), 39-44.",,,,,,,,,,
"Baggenstos et al. (2019) PNAS, 116(30), 14881-14886.",,,,,,,,,,
"Shackleton et al. (2020) Nature geoscience, 13(1), 77-81.",,,,,,Age (ka),Lower bound,Mean ,Upper bound,std
"Shackleton et al. (2019) GRL, 46(11), 5928-5936.",,,,,,,,,,
,,,,,,Spline of the MOT anomaly,,,,
Age,MOT_anomaly,MOT_abs,Error,Ice Core,Reference,age,std2_lo,Mean,std2_hi,std
,,,,,,10.02,-0.198534698,-0.021648712,0.146572831,0.172553765
,,,,,,10.03,-0.195444216,-0.019878158,0.149201919,0.172323067
,,,,,,10.04,-0.193662581,-0.018163192,0.149874923,0.171768752
,,,,,,10.05,-0.191308238,-0.016506434,0.149757876,0.170533057
,,,,,,10.06,-0.189970789,-0.014910499,0.151640054,0.170805421
,,,,,,10.07,-0.189040661,-0.013378006,0.151504411,0.170272536
,,,,,,10.08,-0.186807298,-0.011911573,0.150749738,0.168778518
,,,,,,10.09,-0.18302566,-0.010513817,0.151437411,0.167231536
,,,,,,10.1,-0.181456009,-0.009187355,0.152224686,0.166840348
,,,,,,10.11,-0.177010692,-0.007934805,0.151402126,0.164206409
,,,,,,10.12,-0.174365855,-0.006758785,0.153750593,0.164058224
,,,,,,10.13,-0.171066436,-0.005661911,0.154772875,0.162919656
,,,,,,10.14,-0.170632091,-0.004645641,0.154078445,0.162355268
,,,,,,10.15,-0.168735084,-0.003707991,0.155502331,0.162118707
,,,,,,10.16,-0.168238477,-0.002846338,0.154969141,0.161603809
,,,,,,10.17,-0.163804811,-0.002058062,0.154162628,0.15898372
,,,,,,10.18,-0.160634697,-0.00134054,0.155650157,0.158142427
,,,,,,10.19,-0.158523126,-0.00069115,0.155478219,0.157000672
,,,,,,10.2,-0.157060933,-0.000107272,0.155014288,0.15603761
,,,,,,10.21,-0.155980799,0.000413717,0.155878995,0.155929897
,,,,,,10.22,-0.155838556,0.000874437,0.154277445,0.155058001
,,,,,,10.23,-0.154032452,0.001277512,0.153346012,0.153689232
,,,,,,10.24,-0.151776789,0.001625561,0.153105812,0.152441301
,,,,,,10.25,-0.150404866,0.001921208,0.152822555,0.15161371
,,,,,,10.26,-0.149919936,0.002167073,0.153067686,0.151493811
,,,,,,10.27,-0.148662371,0.002365778,0.152317126,0.150489749
,,,,,,10.28,-0.147787603,0.002519945,0.149993022,0.148890312
,,,,,,10.29,-0.147694316,0.002632195,0.148864235,0.148279275
,,,,,,10.3,-0.147323709,0.002705151,0.147385642,0.147354675
,,,,,,10.31,-0.146193568,0.002741432,0.145549827,0.145871698
,,,,,,10.32,-0.14559235,0.002743662,0.144319037,0.144955694
,,,,,,10.33,-0.144183227,0.002714462,0.144899471,0.144541349
,,,,,,10.34,-0.142096,0.002656454,0.144143366,0.143119683
,,,,,,10.35,-0.139315124,0.002572258,0.144992631,0.142153878
,,,,,,10.36,-0.136964107,0.002464497,0.142550747,0.139757427
,,,,,,10.37,-0.137021509,0.002335792,0.140725561,0.138873535
,,,,,,10.38,-0.138085754,0.002188766,0.14171334,0.139899547
,,,,,,10.39,-0.136397585,0.002026038,0.141238879,0.138818232
,,,,,,10.4,-0.135414987,0.00185023,0.142670602,0.139042795
,,,,,,10.41,-0.13421773,0.001663809,0.14088441,0.13755107
,,,,,,10.42,-0.132509504,0.001468986,0.139131419,0.135820462
,,,,,,10.43,-0.132588564,0.001267946,0.134948647,0.133768605
,,,,,,10.44,-0.130795012,0.001062875,0.131693089,0.13124405
,,,,,,10.45,-0.128841815,0.000855959,0.129143747,0.128992781
,,,,,,10.46,-0.127409404,0.000649383,0.127667705,0.127538554
,,,,,,10.47,-0.126008896,0.000445334,0.126137718,0.126073307
,,,,,,10.48,-0.125049469,0.000245996,0.124482794,0.124766132
,,,,,,10.49,-0.123780781,5.36E-05,0.122259267,0.123020024
,,,,,,10.5,-0.121815451,-0.0001298,0.120505938,0.121160694
,,,,,,10.51,-0.121770488,-0.000301888,0.120071138,0.120920813
,,,,,,10.52,-0.121209727,-0.000460521,0.119759934,0.12048483
,,,,,,10.53,-0.122091505,-0.000603513,0.117063571,0.119577538
,,,,,,10.54,-0.121656385,-0.000728679,0.117099525,0.119377955
,,,,,,10.55,-0.12244118,-0.000833834,0.117405353,0.119923267
,,,,,,10.56,-0.122902982,-0.000916791,0.11683006,0.119866521
,,,,,,10.57,-0.123036983,-0.000975364,0.116398728,0.119717855
,,,,,,10.58,-0.122008157,-0.001007369,0.113076228,0.117542192
,,,,,,10.59,-0.121090193,-0.001010619,0.112978597,0.117034395
,,,,,,10.6,-0.120447023,-0.000982929,0.113328122,0.116887573
,,,,,,10.61,-0.120563457,-0.000922132,0.113366651,0.116965054
,,,,,,10.62,-0.12112207,-0.000826143,0.114170809,0.11764644
,,,,,,10.63,-0.119556213,-0.000692894,0.114114941,0.116835577
,,,,,,10.64,-0.119665061,-0.000520319,0.113609781,0.116637421
,,,,,,10.65,-0.118998522,-0.000306352,0.112166886,0.115582704
,,,,,,10.66,-0.118599115,-4.90E-05,0.112079634,0.115339375
,,,,,,10.67,-0.118509884,0.0002528,0.111975838,0.115242861
,,,,,,10.68,-0.118910298,0.000598886,0.112030365,0.115470331
,,,,,,10.69,-0.117582582,0.000989169,0.113843301,0.115712942
,,,,,,10.7,-0.116219923,0.001423533,0.115300931,0.115760427
,,,,,,10.71,-0.11517203,0.001901858,0.115684563,0.115428297
,,,,,,10.72,-0.114553267,0.002424028,0.115336373,0.11494482
,,,,,,10.73,-0.114024119,0.002989923,0.116714066,0.115369092
,,,,,,10.74,-0.112529758,0.003599427,0.116613927,0.114571843
,,,,,,10.75,-0.110819451,0.00425242,0.117164234,0.113991842
,,,,,,10.76,-0.108533912,0.004948786,0.118382162,0.113458037
,,,,,,10.77,-0.106804533,0.005688406,0.120071029,0.113437781
,,,,,,10.78,-0.10602567,0.006471162,0.121631029,0.11382835
,,,,,,10.79,-0.106215968,0.007296936,0.120123849,0.113169908
,,,,,,10.8,-0.105244588,0.008165611,0.120680619,0.112962603
,,,,,,10.81,-0.103432933,0.009077067,0.119879927,0.11165643
,,,,,,10.82,-0.101422221,0.010031189,0.120004464,0.110713342
,,,,,,10.83,-0.099362851,0.011027856,0.12077529,0.11006907
,,,,,,10.84,-0.096800854,0.012066952,0.12090806,0.108854457
,,,,,,10.85,-0.096017058,0.013148358,0.122417766,0.109217412
,,,,,,10.86,-0.09370433,0.014271957,0.124747923,0.109226127
,,,,,,10.87,-0.093753798,0.01543763,0.125942957,0.109848378
,,,,,,10.88,-0.091619141,0.01664526,0.127524499,0.10957182
,,,,,,10.89,-0.090679381,0.017894728,0.130008343,0.110343862
,,,,,,10.9,-0.091110422,0.019185917,0.132314894,0.111712658
,,,,,,10.91,-0.090170278,0.020518695,0.132513896,0.111342087
,,,,,,10.92,-0.089368514,0.021891926,0.135238788,0.112303651
,,,,,,10.93,-0.086840748,0.023302766,0.136505692,0.11167322
,,,,,,10.94,-0.086432031,0.024748207,0.137860206,0.112146119
,,,,,,10.95,-0.083565464,0.026225241,0.13817477,0.110870117
,,,,,,10.96,-0.080486954,0.02773086,0.140627228,0.110557091
,,,,,,10.97,-0.078659475,0.029262055,0.142026924,0.110343199
,,,,,,10.98,-0.076651105,0.030815818,0.1438798,0.110265453
,,,,,,10.99,-0.074741263,0.032389167,0.147750995,0.111246129
,,,,,,11,-0.073206178,0.033979175,0.14802128,0.110613729
,,,,,,11.01,-0.071034805,0.035582734,0.151227615,0.11113121
,,,,,,11.02,-0.068019401,0.037196074,0.155789249,0.111904325
,,,,,,11.03,-0.068191668,0.038815289,0.156985176,0.112588422
,,,,,,11.04,-0.067531402,0.040436469,0.158273937,0.11290267
,,,,,,11.05,-0.066440185,0.042055707,0.159838136,0.113139161
,,,,,,11.06,-0.06485841,0.043669095,0.159697919,0.112278164
,,,,,,11.07,-0.062631394,0.045272724,0.162535083,0.112583238
,,,,,,11.08,-0.061847849,0.046862687,0.164033666,0.112940758
,,,,,,11.09,-0.060214636,0.048435075,0.16506454,0.112639588
,,,,,,11.1,-0.058336948,0.04998598,0.166506906,0.112421927
,,,,,,11.11,-0.056933935,0.051511494,0.167196885,0.11206541
,,,,,,11.12,-0.05616562,0.053007464,0.16783462,0.11200012
,,,,,,11.13,-0.055699679,0.054468752,0.169044638,0.112372159
,,,,,,11.14,-0.053296365,0.055889978,0.170596655,0.11194651
,,,,,,11.15,-0.053110808,0.057265757,0.171405294,0.112258051
,,,,,,11.16,-0.051171317,0.058590657,0.17345259,0.112311954
,,,,,,11.17,-0.050513248,0.059859189,0.172663587,0.111588418
,,,,,,11.18,-0.049759463,0.061065856,0.173409467,0.111584465
,,,,,,11.19,-0.048015395,0.062205163,0.17444218,0.111228788
,,,,,,11.2,-0.047882996,0.063271615,0.176569985,0.112226491
,,,,,,11.21,-0.047364507,0.064259718,0.178995882,0.113180195
,,,,,,11.22,-0.046919999,0.065163975,0.180751848,0.113835923
,,,,,,11.23,-0.045194635,0.065978892,0.183196942,0.114195788
,,,,,,11.24,-0.04549042,0.066698973,0.182356286,0.113923353
,,,,,,11.25,-0.046015012,0.067318724,0.181841454,0.113928233
,,,,,,11.26,-0.045503057,0.067832648,0.182901284,0.114202171
,,,,,,11.27,-0.044389021,0.068235252,0.18323432,0.11381167
,,,,,,11.28,-0.04501147,0.06852104,0.183172157,0.114091813
,,,,,,11.29,-0.045193095,0.068684516,0.182988247,0.114090671
,,,,,,11.3,-0.046879875,0.068720398,0.182491675,0.114685775
,,,,,,11.31,-0.046035477,0.068625339,0.181204189,0.113619833
,,,,,,11.32,-0.044574768,0.068400035,0.181800216,0.113187492
,,,,,,11.33,-0.045772695,0.068045917,0.182022627,0.113897661
,,,,,,11.34,-0.045804659,0.06756441,0.181736522,0.11377059
,,,,,,11.35,-0.046374033,0.066956943,0.180749488,0.11356176
,,,,,,11.36,-0.046940862,0.066224942,0.180577126,0.113758994
,,,,,,11.37,-0.046930977,0.065369837,0.180725092,0.113828034
,,,,,,11.38,-0.046783052,0.064393054,0.180307532,0.113545292
,,,,,,11.39,-0.047626087,0.06329602,0.178997135,0.113311611
,,,,,,11.4,-0.04934847,0.062080164,0.177641352,0.113494911
,,,,,,11.41,-0.050715628,0.060746913,0.17692224,0.113818934
,,,,,,11.42,-0.050875573,0.059297694,0.175937097,0.113406335
,,,,,,11.43,-0.052465737,0.057733936,0.175718515,0.114092126
,,,,,,11.44,-0.053879137,0.056057327,0.173130762,0.11350495
,,,,,,11.45,-0.057004163,0.054270738,0.17195472,0.114479441
,,,,,,11.46,-0.059784693,0.052377367,0.170170779,0.114977736
,,,,,,11.47,-0.062508624,0.050380415,0.167991592,0.115250108
,,,,,,11.48,-0.065121594,0.048282954,0.166275606,0.1156986
,,,,,,11.49,-0.067609043,0.046086149,0.164016461,0.115812752
,,,,,,11.5,-0.07056265,0.043789699,0.161662263,0.116112457
,,,,,,11.51,-0.072025185,0.041393265,0.159691044,0.115858115
,,,,,,11.52,-0.075092882,0.038896507,0.156274265,0.115683574
,,,,,,11.53,-0.079469105,0.036299086,0.154321461,0.116895283
,,,,,,11.54,-0.081955457,0.033600644,0.149506579,0.115731018
,,,,,,11.55,-0.085723118,0.030800446,0.148007709,0.116865413
,,,,,,11.56,-0.089518975,0.02789737,0.146925681,0.118222328
,,,,,,11.57,-0.092415582,0.024890284,0.142787263,0.117601422
,,,,,,11.58,-0.097853207,0.021778051,0.139780509,0.118816858
,,,,,,11.59,-0.099917844,0.018559538,0.135208054,0.117562949
,,,,,,11.6,-0.102784086,0.015233607,0.130464052,0.116624069
,,,,,,11.61,-0.106681205,0.011799126,0.128826597,0.117753901
,,,,,,11.62,-0.111546261,0.008254958,0.1238433,0.117694781
,,,,,,11.63,-0.114433852,0.004599968,0.120163057,0.117298455
,,,,,,11.64,-0.118839915,0.000833022,0.116535418,0.117687667
,,,,,,11.65,-0.124898818,-0.003047015,0.112508476,0.118703647
,,,,,,11.66,-0.128816135,-0.007041421,0.108601582,0.118708858
,,,,,,11.67,-0.131254744,-0.011152448,0.105262865,0.118258804
,,,,,,11.68,-0.135853952,-0.015382834,0.102798261,0.119326107
,,,,,,11.69,-0.142153426,-0.019735322,0.099462244,0.120807835
,,,,,,11.7,-0.14863175,-0.024212653,0.095288572,0.121960161
,,,,,,11.71,-0.154643765,-0.02881757,0.091899118,0.123271441
,,,,,,11.72,-0.160425788,-0.033552817,0.088725028,0.124575408
,,,,,,11.73,-0.1663461,-0.038421135,0.08548534,0.12591572
,,,,,,11.74,-0.171650992,-0.043425267,0.080981336,0.126316164
,,,,,,11.75,-0.178128572,-0.048567955,0.07604626,0.127087416
,,,,,,11.76,-0.185586033,-0.053851944,0.0736736,0.129629816
,,,,,,11.77,-0.193053969,-0.059279973,0.070636644,0.131845306
,,,,,,11.78,-0.200658492,-0.064854788,0.064703714,0.132681103
,,,,,,11.79,-0.207913363,-0.070579129,0.059550091,0.133731727
,,,,,,11.8,-0.213655029,-0.076455741,0.052284929,0.132969979
,,,,,,11.81,-0.220650244,-0.082487364,0.045444515,0.13304738
,,,,,,11.82,-0.227312345,-0.088676749,0.041886733,0.134599539
,,,,,,11.83,-0.234642285,-0.095026927,0.037479354,0.13606082
,,,,,,11.84,-0.242081685,-0.10154132,0.031082018,0.136581852
,,,,,,11.85,-0.249071642,-0.108223375,0.026431601,0.137751622
,,,,,,11.86,-0.257959619,-0.115076541,0.019476821,0.13871822
,,,,,,11.87,-0.265726098,-0.122104136,0.012994929,0.139360513
,,,,,,11.88,-0.273758145,-0.129306483,0.005600979,0.139679562
,,,,,,11.89,-0.282451665,-0.136680906,-0.001353019,0.140549323
,,,,,,11.9,-0.290925919,-0.144224601,-0.007352042,0.141786939
,,,,,,11.91,-0.300043074,-0.151934762,-0.013124179,0.143459448
,,,,,,11.92,-0.306760613,-0.159808586,-0.0202668,0.143246906
,,,,,,11.93,-0.316644617,-0.167843266,-0.028061314,0.144291652
,,,,,,11.94,-0.322942399,-0.176036014,-0.035761341,0.143590529
,,,,,,11.95,-0.32991837,-0.184384295,-0.042827344,0.143545513
,,,,,,11.96,-0.339942143,-0.192885763,-0.051577309,0.144182417
,,,,,,11.97,-0.348276585,-0.201538081,-0.05879997,0.144738307
,,,,,,11.98,-0.355603032,-0.210338909,-0.068689049,0.143456992
,,,,,,11.99,-0.363437424,-0.219285909,-0.078526394,0.142455515
,,,,,,12,-0.371061489,-0.22837681,-0.087765826,0.141647832
,,,,,,12.01,-0.379489352,-0.237610022,-0.097722452,0.14088345
,,,,,,12.02,-0.386984546,-0.246984348,-0.105951732,0.140516407
,,,,,,12.03,-0.397216678,-0.256498592,-0.117454029,0.139881324
,,,,,,12.04,-0.407431381,-0.266151562,-0.127331808,0.140049786
,,,,,,12.05,-0.417858035,-0.275942063,-0.136021794,0.14091812
,,,,,,12.06,-0.427681453,-0.285868901,-0.146627802,0.140526826
,,,,,,12.07,-0.436487234,-0.295930883,-0.155156849,0.140665192
,,,,,,12.08,-0.444457131,-0.306126815,-0.165300255,0.139578438
,,,,,,12.09,-0.454586907,-0.316455427,-0.175242842,0.139672033
,,,,,,12.1,-0.463736956,-0.326912528,-0.185416869,0.139160044
,,,,,,12.11,-0.472274439,-0.337490131,-0.195415905,0.138429267
,,,,,,12.12,-0.482370669,-0.348179992,-0.207262981,0.137553844
,,,,,,12.13,-0.492333537,-0.358973871,-0.218384582,0.136974478
,,,,,,12.14,-0.502062767,-0.369863526,-0.22937949,0.136341638
,,,,,,12.15,-0.512398779,-0.380840714,-0.240721016,0.135838881
,,,,,,12.16,-0.523854297,-0.391897195,-0.253331409,0.135261444
,,,,,,12.17,-0.535371513,-0.403024726,-0.263973312,0.1356991
,,,,,,12.18,-0.546796479,-0.41421538,-0.27732223,0.134737125
,,,,,,12.19,-0.556940456,-0.425463021,-0.290335511,0.133302473
,,,,,,12.2,-0.568929117,-0.436762149,-0.30242694,0.133251088
,,,,,,12.21,-0.579888921,-0.448107263,-0.314254013,0.132817454
,,,,,,12.22,-0.591594771,-0.459492867,-0.327586338,0.132004216
,,,,,,12.23,-0.604139592,-0.470913458,-0.339070168,0.132534712
,,,,,,12.24,-0.614575331,-0.48236354,-0.351968183,0.131303574
,,,,,,12.25,-0.625368292,-0.493837611,-0.363915092,0.1307266
,,,,,,12.26,-0.636495701,-0.505330174,-0.3756595,0.130418101
,,,,,,12.27,-0.648236853,-0.516835728,-0.386078553,0.13107915
,,,,,,12.28,-0.6594849,-0.528348774,-0.397170109,0.131157395
,,,,,,12.29,-0.671718851,-0.539863813,-0.410534237,0.130592307
,,,,,,12.3,-0.681537915,-0.551375346,-0.42203414,0.129751888
,,,,,,12.31,-0.692790285,-0.562877852,-0.43504272,0.128873782
,,,,,,12.32,-0.704868987,-0.574365012,-0.447007733,0.128930627
,,,,,,12.33,-0.715391762,-0.585829463,-0.459558971,0.127916396
,,,,,,12.34,-0.728182628,-0.597263777,-0.471292649,0.12844499
,,,,,,12.35,-0.735928376,-0.608660526,-0.483759669,0.126084353
,,,,,,12.36,-0.746869409,-0.620012994,-0.495579319,0.125645045
,,,,,,12.37,-0.759180502,-0.631315998,-0.508052833,0.125563835
,,,,,,12.38,-0.770390018,-0.642564551,-0.518375225,0.126007397
,,,,,,12.39,-0.781367578,-0.653753669,-0.528133647,0.126616966
,,,,,,12.4,-0.792590005,-0.664878364,-0.539303308,0.126643349
,,,,,,12.41,-0.801080264,-0.675933653,-0.550326048,0.125377108
,,,,,,12.42,-0.812967267,-0.686914549,-0.559779533,0.126593867
,,,,,,12.43,-0.823008613,-0.697816066,-0.571190356,0.125909128
,,,,,,12.44,-0.833058588,-0.708633219,-0.580667891,0.126195349
,,,,,,12.45,-0.843843687,-0.719361022,-0.591432257,0.126205715
,,,,,,12.46,-0.854349706,-0.72999449,-0.601173967,0.12658787
,,,,,,12.47,-0.864751165,-0.740528636,-0.612696316,0.126027425
,,,,,,12.48,-0.873423921,-0.750958476,-0.62155547,0.125934226
,,,,,,12.49,-0.884257316,-0.761279024,-0.632941447,0.125657934
,,,,,,12.5,-0.894274651,-0.771485294,-0.642650171,0.12581224
,,,,,,12.51,-0.906061317,-0.7815723,-0.653989002,0.126036158
,,,,,,12.52,-0.915157737,-0.791535058,-0.664918499,0.125119619
,,,,,,12.53,-0.925725204,-0.801368694,-0.674455745,0.125634729
,,,,,,12.54,-0.936316198,-0.811069082,-0.685002462,0.125656868
,,,,,,12.55,-0.94798349,-0.820631858,-0.695213983,0.126384753
,,,,,,12.56,-0.958297537,-0.83005256,-0.704841596,0.12672797
,,,,,,12.57,-0.968728858,-0.839326729,-0.715116588,0.126806135
,,,,,,12.58,-0.980037315,-0.848449905,-0.724121874,0.12795772
,,,,,,12.59,-0.988740381,-0.857417628,-0.73214275,0.128298816
,,,,,,12.6,-0.996968999,-0.866225438,-0.740921124,0.128023938
,,,,,,12.61,-1.006742772,-0.874868874,-0.748031579,0.129355596
,,,,,,12.62,-1.016677157,-0.883343477,-0.756927816,0.129874671
,,,,,,12.63,-1.024539469,-0.891644785,-0.765354335,0.129592567
,,,,,,12.64,-1.033922776,-0.89976834,-0.774275172,0.129823802
,,,,,,12.65,-1.042594835,-0.907709682,-0.782310153,0.130142341
,,,,,,12.66,-1.049393958,-0.915464349,-0.790049021,0.129672469
,,,,,,12.67,-1.057174246,-0.923027882,-0.79664563,0.130264308
,,,,,,12.68,-1.063401942,-0.930395821,-0.802299979,0.130550981
,,,,,,12.69,-1.07084314,-0.937563705,-0.809418124,0.130712508
,,,,,,12.7,-1.079125876,-0.944527121,-0.815814593,0.131655642
,,,,,,12.71,-1.086874207,-0.951282431,-0.821866391,0.132503908
,,,,,,12.72,-1.09528347,-0.957826649,-0.829243146,0.133020162
,,,,,,12.73,-1.102253688,-0.964156807,-0.835625327,0.13331418
,,,,,,12.74,-1.106615368,-0.970269938,-0.841874304,0.132370532
,,,,,,12.75,-1.113159204,-0.976163108,-0.848415412,0.132371896
,,,,,,12.76,-1.118400313,-0.981835902,-0.853904492,0.132247911
,,,,,,12.77,-1.122096488,-0.987292181,-0.860535256,0.130780616
,,,,,,12.78,-1.127094923,-0.992536218,-0.865117204,0.13098886
,,,,,,12.79,-1.132888919,-0.997572286,-0.869684454,0.131602232
,,,,,,12.8,-1.13668028,-1.00240466,-0.875091498,0.130794391
,,,,,,12.81,-1.140332588,-1.007037612,-0.87961453,0.130359029
,,,,,,12.82,-1.146242173,-1.011475415,-0.884112777,0.131064698
,,,,,,12.83,-1.149856849,-1.015722344,-0.887380407,0.131238221
,,,,,,12.84,-1.153957674,-1.019782672,-0.892085155,0.13093626
,,,,,,12.85,-1.156214172,-1.023660672,-0.896552341,0.129830916
,,,,,,12.86,-1.157576721,-1.027360618,-0.900482905,0.128546908
,,,,,,12.87,-1.160335925,-1.030886896,-0.90378625,0.128274838
,,,,,,12.88,-1.164978134,-1.03424567,-0.907354372,0.128811881
,,,,,,12.89,-1.167278517,-1.037444534,-0.909503586,0.128887465
,,,,,,12.9,-1.170918243,-1.040491122,-0.911489696,0.129714274
,,,,,,12.91,-1.174068564,-1.043393066,-0.915291916,0.129388324
,,,,,,12.92,-1.176682775,-1.046158,-0.91757416,0.129554308
,,,,,,12.93,-1.178826687,-1.048793558,-0.920184653,0.129321017
,,,,,,12.94,-1.181786123,-1.051307372,-0.923938827,0.128923648
,,,,,,12.95,-1.182687413,-1.053707076,-0.926554238,0.128066587
,,,,,,12.96,-1.184368802,-1.055999767,-0.928705959,0.127831421
,,,,,,12.97,-1.187059382,-1.058188127,-0.930402984,0.128328199
,,,,,,12.98,-1.189139321,-1.060272037,-0.932586212,0.128276555
,,,,,,12.99,-1.192279826,-1.062251292,-0.936053226,0.1281133
,,,,,,13,-1.194630741,-1.064125685,-0.937699264,0.128465739
,,,,,,13.01,-1.196812594,-1.065895013,-0.940890731,0.127960931
,,,,,,13.02,-1.19886315,-1.067559068,-0.942727111,0.12806802
,,,,,,13.03,-1.19972848,-1.069117646,-0.945128183,0.127300148
,,,,,,13.04,-1.2003963,-1.070570526,-0.946548291,0.126924005
,,,,,,13.05,-1.20134606,-1.071917412,-0.946956917,0.127194572
,,,,,,13.06,-1.203051589,-1.073157984,-0.948926985,0.127062302
,,,,,,13.07,-1.204350739,-1.074291921,-0.949023694,0.127663522
,,,,,,13.08,-1.203342498,-1.075318903,-0.949047596,0.127147451
,,,,,,13.09,-1.205831271,-1.07623861,-0.949158355,0.128336458
,,,,,,13.1,-1.204016984,-1.077050721,-0.95053214,0.126742422
,,,,,,13.11,-1.203979832,-1.077754915,-0.951096406,0.126441713
,,,,,,13.12,-1.203024199,-1.078350872,-0.95136259,0.125830805
,,,,,,13.13,-1.201722639,-1.078838273,-0.952192196,0.124765221
,,,,,,13.14,-1.201440567,-1.079216795,-0.953184097,0.124128235
,,,,,,13.15,-1.20211144,-1.07948612,-0.954745598,0.123682921
,,,,,,13.16,-1.202651508,-1.079645926,-0.955038331,0.123806588
,,,,,,13.17,-1.203102105,-1.079695893,-0.953156344,0.124972881
,,,,,,13.18,-1.202291163,-1.079635711,-0.952077227,0.125106968
,,,,,,13.19,-1.201451369,-1.079465098,-0.951666187,0.124892591
,,,,,,13.2,-1.200608447,-1.079183778,-0.951134941,0.124736753
,,,,,,13.21,-1.201431426,-1.07879172,-0.952240156,0.124595635
,,,,,,13.22,-1.200945786,-1.078290443,-0.95139612,0.124774833
,,,,,,13.23,-1.199558417,-1.077682081,-0.951180357,0.12418903
,,,,,,13.24,-1.199064273,-1.076968765,-0.950610547,0.124226863
,,,,,,13.25,-1.196538236,-1.07615263,-0.949319855,0.123609191
,,,,,,13.26,-1.196693868,-1.075235807,-0.949115397,0.123789235
,,,,,,13.27,-1.195996704,-1.074220431,-0.950254912,0.122870896
,,,,,,13.28,-1.19487512,-1.073108635,-0.948180261,0.12334743
,,,,,,13.29,-1.193555576,-1.071902551,-0.94716344,0.123196068
,,,,,,13.3,-1.193112634,-1.070604312,-0.945197064,0.123957785
,,,,,,13.31,-1.191280072,-1.069216053,-0.945215333,0.12303237
,,,,,,13.32,-1.191631505,-1.067739905,-0.942616209,0.124507648
,,,,,,13.33,-1.190131935,-1.066178003,-0.941779603,0.124176166
,,,,,,13.34,-1.189507231,-1.064532478,-0.940671732,0.12441775
,,,,,,13.35,-1.189149308,-1.062805465,-0.940105401,0.124521954
,,,,,,13.36,-1.187293365,-1.060999096,-0.937357966,0.1249677
,,,,,,13.37,-1.185555333,-1.059115505,-0.934744835,0.125405249
,,,,,,13.38,-1.184127521,-1.057156829,-0.932154636,0.125986442
,,,,,,13.39,-1.182657917,-1.055125304,-0.931415793,0.125621062
,,,,,,13.4,-1.180775809,-1.053023211,-0.928063071,0.126356369
,,,,,,13.41,-1.179723693,-1.050852705,-0.926191979,0.126765857
,,,,,,13.42,-1.177409247,-1.048615913,-0.923851749,0.126778749
,,,,,,13.43,-1.175709599,-1.046314967,-0.920778114,0.127465743
,,,,,,13.44,-1.172536185,-1.043951996,-0.91843625,0.127049968
,,,,,,13.45,-1.169028088,-1.041529128,-0.916668962,0.126179563
,,,,,,13.46,-1.166726503,-1.039048494,-0.913200161,0.126763171
,,,,,,13.47,-1.164650965,-1.036512222,-0.910453021,0.127098972
,,,,,,13.48,-1.162386891,-1.033922444,-0.906250941,0.128067975
,,,,,,13.49,-1.161099954,-1.031281287,-0.90344579,0.128827082
,,,,,,13.5,-1.158545288,-1.028590882,-0.900890858,0.128827215
,,,,,,13.51,-1.156775704,-1.025853357,-0.897047862,0.129863921
,,,,,,13.52,-1.154679078,-1.023070843,-0.892806069,0.130936505
,,,,,,13.53,-1.153164413,-1.020245469,-0.888962059,0.132101177
,,,,,,13.54,-1.151362629,-1.017379365,-0.884347854,0.133507387
,,,,,,13.55,-1.148680547,-1.014474659,-0.881587844,0.133546351
,,,,,,13.56,-1.147035829,-1.011533481,-0.879524416,0.133755706
,,,,,,13.57,-1.145713584,-1.008557962,-0.875998921,0.134857331
,,,,,,13.58,-1.14323849,-1.00555023,-0.87231097,0.13546376
,,,,,,13.59,-1.139620301,-1.002512415,-0.869678452,0.134970924
,,,,,,13.6,-1.136499697,-0.999446646,-0.867678403,0.134410647
,,,,,,13.61,-1.134478119,-0.99635505,-0.865522777,0.134477671
,,,,,,13.62,-1.130962697,-0.993239541,-0.861785093,0.134588802
,,,,,,13.63,-1.128864325,-0.990101673,-0.856938763,0.135962781
,,,,,,13.64,-1.126251822,-0.986942965,-0.853364409,0.136443706
,,,,,,13.65,-1.124530237,-0.983764935,-0.850197906,0.137166166
,,,,,,13.66,-1.121253686,-0.980569102,-0.846693539,0.137280073
,,,,,,13.67,-1.117187496,-0.977356985,-0.843231971,0.136977762
,,,,,,13.68,-1.114155642,-0.974130102,-0.839809815,0.137172914
,,,,,,13.69,-1.113433907,-0.970889972,-0.834244649,0.139594629
,,,,,,13.7,-1.109687171,-0.967638114,-0.829209719,0.140238726
,,,,,,13.71,-1.10668538,-0.964376047,-0.825703363,0.140491008
,,,,,,13.72,-1.10283749,-0.961105289,-0.822049429,0.14039403
,,,,,,13.73,-1.099597144,-0.957827359,-0.818313436,0.140641854
,,,,,,13.74,-1.096914617,-0.954543776,-0.815477711,0.140718453
,,,,,,13.75,-1.093733948,-0.951256058,-0.812920409,0.14040677
,,,,,,13.76,-1.091980514,-0.947965725,-0.810028705,0.140975904
,,,,,,13.77,-1.087163518,-0.944674294,-0.806509321,0.140327099
,,,,,,13.78,-1.084362186,-0.941383285,-0.803119783,0.140621202
