Termination I Mean Ocean Temperature compilation,,,,,,,,,,
"Fig. 1 of Shackleton et al. (2021) Climate of the Past, 17(5), 2273-2289.",,,,,,,,,,
,,,,,,,,,,
Full references,,,,,,,,,,
"Bereiter et al. (2018) Nature, 553(7686), 39-44.",,,,,,,,,,
"Baggenstos et al. (2019) PNAS, 116(30), 14881-14886.",,,,,,,,,,
"Shackleton et al. (2020) Nature geoscience, 13(1), 77-81.",,,,,,Age (ka),Lower bound,Mean ,Upper bound,std
"Shackleton et al. (2019) GRL, 46(11), 5928-5936.",,,,,,,,,,
,,,,,,Spline of the MOT anomaly,,,,
Age,MOT_anomaly,MOT_abs,Error,Ice Core,Reference,age,std2_lo,Mean,std2_hi,std
,,,,,,1.67,-0.408903372,-0.130665817,0.132116093,0.270509733
,,,,,,1.68,-0.40917342,-0.131321224,0.131169665,0.270171542
,,,,,,1.69,-0.409982615,-0.131976286,0.130174577,0.270078596
,,,,,,1.7,-0.408936444,-0.132631018,0.130746546,0.269841495
,,,,,,1.71,-0.409504626,-0.133285436,0.130854644,0.270179635
,,,,,,1.72,-0.410046716,-0.133939556,0.129645049,0.269845882
,,,,,,1.73,-0.41076629,-0.134593394,0.128983204,0.269874747
,,,,,,1.74,-0.412557698,-0.135246965,0.127098367,0.269828033
,,,,,,1.75,-0.412738317,-0.135900285,0.12665942,0.269698868
,,,,,,1.76,-0.412946894,-0.13655337,0.125499586,0.26922324
,,,,,,1.77,-0.412701622,-0.137206236,0.125901028,0.269301325
,,,,,,1.78,-0.412474641,-0.137858898,0.125218033,0.268846337
,,,,,,1.79,-0.412963881,-0.138511372,0.122360649,0.267662265
,,,,,,1.8,-0.414238015,-0.139163674,0.120339875,0.267288945
,,,,,,1.81,-0.414493435,-0.139815819,0.119094445,0.26679394
,,,,,,1.82,-0.415512624,-0.140467824,0.12020691,0.267859767
,,,,,,1.83,-0.415210741,-0.141119703,0.118868391,0.267039566
,,,,,,1.84,-0.416972561,-0.141771474,0.118364336,0.267668449
,,,,,,1.85,-0.417959017,-0.142423151,0.117795246,0.267877132
,,,,,,1.86,-0.41786973,-0.14307475,0.115857474,0.266863602
,,,,,,1.87,-0.418778291,-0.143726287,0.114787456,0.266782874
,,,,,,1.88,-0.419384242,-0.144377778,0.112409115,0.265896678
,,,,,,1.89,-0.418161204,-0.145029239,0.111382944,0.264772074
