ID,Latitude,Longitude,Year (CE),RSL (mm),RSL std (mm)
23.0,52.964444,4.745,1875.0,-180.94955375026893,2.8028352465533843
23.0,52.964444,4.745,1885.0,-181.89518528244844,2.8028352498992466
23.0,52.964444,4.745,1895.0,-139.54820438872048,2.8028352448112286
23.0,52.964444,4.745,1905.0,-158.70516752629828,2.802835249232382
23.0,52.964444,4.745,1915.0,-110.26591299801203,2.8028352474463833
23.0,52.964444,4.745,1925.0,-119.32187937968592,2.8028352473287015
23.0,52.964444,4.745,1935.0,-97.44613329972708,2.8028352484409123
23.0,52.964444,4.745,1945.0,-98.7002541192287,2.802835250723021
23.0,52.964444,4.745,1955.0,-81.27200696061846,2.802835249266994
23.0,52.964444,4.745,1965.0,-43.02181283139453,2.802835244504332
23.0,52.964444,4.745,1975.0,-76.52254804878339,2.8028352503607454
23.0,52.964444,4.745,1985.0,-7.07543883665312,2.8028352469248907
23.0,52.964444,4.745,1995.0,-17.965530478209985,2.802835246165726
23.0,52.964444,4.745,2005.0,17.695703694979784,2.802835250026159
23.0,52.964444,4.745,2015.0,30.828488991888662,2.8029199382436465
25.0,53.175556,5.409444,1865.0,-448.65695965566374,31.781949020990666
25.0,53.175556,5.409444,1875.0,-175.56869404584813,2.805632590679167
25.0,53.175556,5.409444,1885.0,-177.81582776815503,2.80563259592117
25.0,53.175556,5.409444,1895.0,-141.65848852562794,2.8056325943444196
25.0,53.175556,5.409444,1905.0,-140.26304283946592,2.8056325961539947
25.0,53.175556,5.409444,1915.0,-96.13688610673944,2.805632594835426
25.0,53.175556,5.409444,1925.0,-78.80907708983523,2.8056325933647144
25.0,53.175556,5.409444,1935.0,-94.48889745930592,2.80563259567682
25.0,53.175556,5.409444,1945.0,-94.68370303778738,2.8056325936344217
25.0,53.175556,5.409444,1955.0,-85.11205540222454,2.805632589026345
25.0,53.175556,5.409444,1965.0,-53.22148977226698,2.805632594600296
25.0,53.175556,5.409444,1975.0,-53.78885041979356,2.8056325953771455
25.0,53.175556,5.409444,1985.0,-15.17606851702476,2.8056325919147493
25.0,53.175556,5.409444,1995.0,-42.12009606949232,2.805632597433375
25.0,53.175556,5.409444,2005.0,12.202290259384426,2.805632592507183
25.0,53.175556,5.409444,2015.0,39.52865933952853,2.805719249276203
32.0,52.462222,4.554722,1875.0,-121.63614716849861,4.880658358898069
32.0,52.462222,4.554722,1885.0,-174.05704762852747,2.7993690819937025
32.0,52.462222,4.554722,1895.0,-186.1665986339449,2.7993690818435297
32.0,52.462222,4.554722,1905.0,-221.25538368617526,2.7993690848192583
32.0,52.462222,4.554722,1915.0,-144.1178544428658,2.799369084569741
32.0,52.462222,4.554722,1925.0,-164.86156158006088,2.7993690860622262
32.0,52.462222,4.554722,1935.0,-122.56347096897935,2.7993690853206044
32.0,52.462222,4.554722,1945.0,-101.27716242804854,2.7993690862632263
32.0,52.462222,4.554722,1955.0,-71.82983013383091,2.7993690853552593
32.0,52.462222,4.554722,1965.0,-44.10599038323926,2.799369089719507
32.0,52.462222,4.554722,1975.0,-74.64803768879392,2.79936908012232
